CRIM,AGE,RM,INDUS,NOX,DIS,TAX,PTRATIO,LSTAT,MEDV
8.98296,97.4,6.212,18.1,0.77,2.1222,666,20.2,17.6,17.8
3.8497,91,6.395,18.1,0.77,2.5052,666,20.2,13.27,21.7
5.20177,83.4,6.127,18.1,0.77,2.7227,666,20.2,11.48,22.7
4.26131,81.3,6.112,18.1,0.77,2.5091,666,20.2,12.67,22.6
4.54192,88,6.398,18.1,0.77,2.5182,666,20.2,7.79,25
3.83684,91.1,6.251,18.1,0.77,2.2955,666,20.2,14.19,19.9
3.67822,96.2,5.362,18.1,0.77,2.1036,666,20.2,10.19,20.8
4.22239,89,5.803,18.1,0.77,1.9047,666,20.2,14.64,16.8
3.47428,82.9,8.78,18.1,0.718,1.9047,666,20.2,5.29,21.9
4.55587,87.9,3.561,18.1,0.718,1.6132,666,20.2,7.12,27.5
3.69695,91.4,4.963,18.1,0.718,1.7523,666,20.2,14,21.9
13.5222,100,3.863,18.1,0.631,1.5106,666,20.2,13.33,23.1
4.89822,100,4.97,18.1,0.631,1.3325,666,20.2,3.26,50
5.66998,96.8,6.683,18.1,0.631,1.3567,666,20.2,3.73,50
6.53876,97.5,7.016,18.1,0.631,1.2024,666,20.2,2.96,50
9.2323,100,6.216,18.1,0.631,1.1691,666,20.2,9.53,50
8.26725,89.6,5.875,18.1,0.668,1.1296,666,20.2,8.88,50
11.1081,100,4.906,18.1,0.668,1.1742,666,20.2,34.77,13.8
18.4982,100,4.138,18.1,0.668,1.137,666,20.2,37.97,13.8
19.6091,97.9,7.313,18.1,0.671,1.3163,666,20.2,13.44,15
15.288,93.3,6.649,18.1,0.671,1.3449,666,20.2,23.24,13.9
9.82349,98.8,6.794,18.1,0.671,1.358,666,20.2,21.24,13.3
23.6482,96.2,6.38,18.1,0.671,1.3861,666,20.2,23.69,13.1
17.8667,100,6.223,18.1,0.671,1.3861,666,20.2,21.78,10.2
88.9762,91.9,6.968,18.1,0.671,1.4165,666,20.2,17.21,10.4
15.8744,99.1,6.545,18.1,0.671,1.5192,666,20.2,21.08,10.9
9.18702,100,5.536,18.1,0.7,1.5804,666,20.2,23.6,11.3
7.99248,100,5.52,18.1,0.7,1.5331,666,20.2,24.56,12.3
20.0849,91.2,4.368,18.1,0.7,1.4395,666,20.2,30.63,8.8
16.8118,98.1,5.277,18.1,0.7,1.4261,666,20.2,30.81,7.2
24.3938,100,4.652,18.1,0.7,1.4672,666,20.2,28.28,10.5
22.5971,89.5,5,18.1,0.7,1.5184,666,20.2,31.99,7.4
14.3337,100,4.88,18.1,0.7,1.5895,666,20.2,30.62,10.2
8.15174,98.9,5.39,18.1,0.7,1.7281,666,20.2,20.85,11.5
6.96215,97,5.713,18.1,0.7,1.9265,666,20.2,17.11,15.1
5.29305,82.5,6.051,18.1,0.7,2.1678,666,20.2,18.76,23.2
11.5779,97,5.036,18.1,0.7,1.77,666,20.2,25.68,9.7
8.64476,92.6,6.193,18.1,0.693,1.7912,666,20.2,15.17,13.8
13.3598,94.7,5.887,18.1,0.693,1.7821,666,20.2,16.35,12.7
8.71675,98.8,6.471,18.1,0.693,1.7257,666,20.2,17.12,13.1
5.87205,96,6.405,18.1,0.693,1.6768,666,20.2,19.37,12.5
7.67202,98.9,5.747,18.1,0.693,1.6334,666,20.2,19.92,8.5
38.3518,100,5.453,18.1,0.693,1.4896,666,20.2,30.59,5
9.91655,77.8,5.852,18.1,0.693,1.5004,666,20.2,29.97,6.3
25.0461,100,5.987,18.1,0.693,1.5888,666,20.2,26.77,5.6
14.2362,100,6.343,18.1,0.693,1.5741,666,20.2,20.32,7.2
9.59571,100,6.404,18.1,0.693,1.639,666,20.2,20.31,12.1
24.8017,96,5.349,18.1,0.693,1.7028,666,20.2,19.77,8.3
41.5292,85.4,5.531,18.1,0.693,1.6074,666,20.2,27.38,8.5
67.9208,100,5.683,18.1,0.693,1.4254,666,20.2,22.98,5
20.7162,100,4.138,18.1,0.659,1.1781,666,20.2,23.34,11.9
11.9511,100,5.608,18.1,0.659,1.2852,666,20.2,12.13,27.9
7.40389,97.9,5.617,18.1,0.597,1.4547,666,20.2,26.4,17.2
14.4383,100,6.852,18.1,0.597,1.4655,666,20.2,19.78,27.5
51.1358,100,5.757,18.1,0.597,1.413,666,20.2,10.11,15
14.0507,100,6.657,18.1,0.597,1.5275,666,20.2,21.22,17.2
18.811,100,4.628,18.1,0.597,1.5539,666,20.2,34.37,17.9
28.6558,100,5.155,18.1,0.597,1.5894,666,20.2,20.08,16.3
45.7461,100,4.519,18.1,0.693,1.6582,666,20.2,36.98,7
18.0846,100,6.434,18.1,0.679,1.8347,666,20.2,29.05,7.2
10.8342,90.8,6.782,18.1,0.679,1.8195,666,20.2,25.79,7.5
25.9406,89.1,5.304,18.1,0.679,1.6475,666,20.2,26.64,10.4
73.5341,100,5.957,18.1,0.679,1.8026,666,20.2,20.62,8.8
11.8123,76.5,6.824,18.1,0.718,1.794,666,20.2,22.74,8.4
11.0874,100,6.411,18.1,0.718,1.8589,666,20.2,15.02,16.7
7.02259,95.3,6.006,18.1,0.718,1.8746,666,20.2,15.7,14.2
12.0482,87.6,5.648,18.1,0.614,1.9512,666,20.2,14.1,20.8
7.05042,85.1,6.103,18.1,0.614,2.0218,666,20.2,23.29,13.4
8.79212,70.6,5.565,18.1,0.584,2.0635,666,20.2,17.16,11.7
15.8603,95.4,5.896,18.1,0.679,1.9096,666,20.2,24.39,8.3
12.2472,59.7,5.837,18.1,0.584,1.9976,666,20.2,15.69,10.2
37.6619,78.7,6.202,18.1,0.679,1.8629,666,20.2,14.52,10.9
7.36711,78.1,6.193,18.1,0.679,1.9356,666,20.2,21.52,11
9.33889,95.6,6.38,18.1,0.679,1.9682,666,20.2,24.08,9.5
8.49213,86.1,6.348,18.1,0.584,2.0527,666,20.2,17.64,14.5
10.0623,94.3,6.833,18.1,0.584,2.0882,666,20.2,19.69,14.1
6.44405,74.8,6.425,18.1,0.584,2.2004,666,20.2,12.03,16.1
5.58107,87.9,6.436,18.1,0.713,2.3158,666,20.2,16.22,14.3
13.9134,95,6.208,18.1,0.713,2.2222,666,20.2,15.17,11.7
11.1604,94.6,6.629,18.1,0.74,2.1247,666,20.2,23.27,13.4
14.4208,93.3,6.461,18.1,0.74,2.0026,666,20.2,18.05,9.6
15.1772,100,6.152,18.1,0.74,1.9142,666,20.2,26.45,8.7
13.6781,87.9,5.935,18.1,0.74,1.8206,666,20.2,34.02,8.4
9.39063,93.9,5.627,18.1,0.74,1.8172,666,20.2,22.88,12.8
22.0511,92.4,5.818,18.1,0.74,1.8662,666,20.2,22.11,10.5
9.72418,97.2,6.406,18.1,0.74,2.0651,666,20.2,19.52,17.1
5.66637,100,6.219,18.1,0.74,2.0048,666,20.2,16.59,18.4
9.96654,100,6.485,18.1,0.74,1.9784,666,20.2,18.85,15.4
12.8023,96.6,5.854,18.1,0.74,1.8956,666,20.2,23.79,10.8
10.6718,94.8,6.459,18.1,0.74,1.9879,666,20.2,23.98,11.8
6.28807,96.4,6.341,18.1,0.74,2.072,666,20.2,17.79,14.9
9.92485,96.6,6.251,18.1,0.74,2.198,666,20.2,16.44,12.6
9.32909,98.7,6.185,18.1,0.713,2.2616,666,20.2,18.13,14.1
7.52601,98.3,6.417,18.1,0.713,2.185,666,20.2,19.31,13
6.71772,92.6,6.749,18.1,0.713,2.3236,666,20.2,17.44,13.4
5.44114,98.2,6.655,18.1,0.713,2.3552,666,20.2,17.73,15.2
5.09017,91.8,6.297,18.1,0.713,2.3682,666,20.2,17.27,16.1
8.24809,99.3,7.393,18.1,0.713,2.4527,666,20.2,16.74,17.8
9.51363,94.1,6.728,18.1,0.713,2.4961,666,20.2,18.71,14.9
4.75237,86.5,6.525,18.1,0.713,2.4358,666,20.2,18.13,14.1
4.66883,87.9,5.976,18.1,0.713,2.5806,666,20.2,19.01,12.7
8.20058,80.3,5.936,18.1,0.713,2.7792,666,20.2,16.94,13.5
7.75223,83.7,6.301,18.1,0.713,2.7831,666,20.2,16.23,14.9
6.80117,84.4,6.081,18.1,0.713,2.7175,666,20.2,14.7,20
4.81213,90,6.701,18.1,0.713,2.5975,666,20.2,16.42,16.4
3.69311,88.4,6.376,18.1,0.713,2.5671,666,20.2,14.65,17.7
6.65492,83,6.317,18.1,0.713,2.7344,666,20.2,13.99,19.5
5.82115,89.9,6.513,18.1,0.713,2.8016,666,20.2,10.29,20.2
7.83932,65.4,6.209,18.1,0.655,2.9634,666,20.2,13.22,21.4
3.1636,48.2,5.759,18.1,0.655,3.0665,666,20.2,14.13,19.9
3.77498,84.7,5.952,18.1,0.655,2.8715,666,20.2,17.15,19
4.42228,94.5,6.003,18.1,0.584,2.5403,666,20.2,21.32,19.1
15.5757,71,5.926,18.1,0.58,2.9084,666,20.2,18.13,19.1
13.0751,56.7,5.713,18.1,0.58,2.8237,666,20.2,14.76,20.1
4.34879,84,6.167,18.1,0.58,3.0334,666,20.2,16.29,19.9
4.03841,90.7,6.229,18.1,0.532,3.0993,666,20.2,12.87,19.6
3.56868,75,6.437,18.1,0.58,2.8965,666,20.2,14.36,23.2
4.64689,67.6,6.98,18.1,0.614,2.5329,666,20.2,11.66,29.8
8.05579,95.4,5.427,18.1,0.584,2.4298,666,20.2,18.14,13.8
6.39312,97.4,6.162,18.1,0.584,2.206,666,20.2,24.1,13.3
4.87141,93.6,6.484,18.1,0.614,2.3053,666,20.2,18.68,16.7
15.0234,97.3,5.304,18.1,0.614,2.1007,666,20.2,24.91,12
10.233,96.7,6.185,18.1,0.614,2.1705,666,20.2,18.03,14.6
14.3337,88,6.229,18.1,0.614,1.9512,666,20.2,13.11,21.4
5.82401,64.7,6.242,18.1,0.532,3.4242,666,20.2,10.74,23
5.70818,74.9,6.75,18.1,0.532,3.3317,666,20.2,7.74,23.7
5.73116,77,7.061,18.1,0.532,3.4106,666,20.2,7.01,25
2.81838,40.3,5.762,18.1,0.532,4.0983,666,20.2,10.42,21.8
2.37857,41.9,5.871,18.1,0.583,3.724,666,20.2,13.34,20.6
3.67367,51.9,6.312,18.1,0.583,3.9917,666,20.2,10.58,21.2
5.69175,79.8,6.114,18.1,0.583,3.5459,666,20.2,14.98,19.1
4.83567,53.2,5.905,18.1,0.583,3.1523,666,20.2,11.45,20.6
0.15086,92.7,5.454,27.74,0.609,1.8209,711,20.1,18.06,15.2
0.18337,98.3,5.414,27.74,0.609,1.7554,711,20.1,23.97,7
0.20746,98,5.093,27.74,0.609,1.8226,711,20.1,29.68,8.1
0.10574,98.8,5.983,27.74,0.609,1.8681,711,20.1,18.07,13.6
0.11132,83.5,5.983,27.74,0.609,2.1099,711,20.1,13.35,20.1
0.17331,54,5.707,9.69,0.585,2.3817,391,19.2,12.01,21.8
0.27957,42.6,5.926,9.69,0.585,2.3817,391,19.2,13.59,24.5
0.17899,28.8,5.67,9.69,0.585,2.7986,391,19.2,17.6,23.1
0.2896,72.9,5.39,9.69,0.585,2.7986,391,19.2,21.14,19.7
0.26838,70.6,5.794,9.69,0.585,2.8927,391,19.2,14.1,18.3
0.23912,65.3,6.019,9.69,0.585,2.4091,391,19.2,12.92,21.2
0.17783,73.5,5.569,9.69,0.585,2.3999,391,19.2,15.1,17.5
0.22438,79.7,6.027,9.69,0.585,2.4982,391,19.2,14.33,16.8
0.06263,69.1,6.593,11.93,0.573,2.4786,273,21,9.67,22.4
0.04527,76.7,6.12,11.93,0.573,2.2875,273,21,9.08,20.6
0.06076,91,6.976,11.93,0.573,2.1675,273,21,5.64,23.9
0.10959,89.3,6.794,11.93,0.573,2.3889,273,21,6.48,22
0.04741,80.8,6.03,11.93,0.573,2.505,273,21,7.88,11.9
